kode,tahun,kelamin,jumlah
71,2020,1,1290
71,2020,0,1239
71,2025,1,1337
71,2025,0,1288
71,2030,1,1371
71,2030,0,1325
71,2035,1,1392
71,2035,0,1352
72,2010,1,1354
72,2010,0,1292
72,2015,1,1470
72,2015,0,1407
72,2020,1,1580
72,2020,0,1517
72,2025,1,1680
72,2025,0,1620
72,2030,1,1769
72,2030,0,1712
72,2035,1,1847
72,2035,0,1794
73,2010,1,3929
73,2010,0,4131
73,2015,1,4161
73,2015,0,4359
73,2020,1,4365
73,2020,0,4563
73,2025,1,4531
73,2025,0,4734
73,2030,1,4656
73,2030,0,4866
73,2035,1,4739
73,2035,0,4957
74,2010,1,1125
74,2010,0,1118
74,2015,1,1256
74,2015,0,1244
74,2020,1,1387
74,2020,0,1369
74,2025,1,1512
74,2025,0,1491
74,2030,1,1631
74,2030,0,1607
74,2035,1,1742
74,2035,0,1716
75,2010,1,523
75,2010,0,522
75,2015,1,568
75,2015,0,566
75,2020,1,611
75,2020,0,609
75,2025,1,651
75,2025,0,649
75,2030,1,686
75,2030,0,685
75,2035,1,715
75,2035,0,715
76,2010,1,583
76,2010,0,581
76,2015,1,643
76,2015,0,639
76,2020,1,705
76,2020,0,700
76,2025,1,767
76,2025,0,760
76,2030,1,828
76,2030,0,820
76,2035,1,886
76,2035,0,877
81,2010,1,778
81,2010,0,764
81,2015,1,851
81,2015,0,836
81,2020,1,923
81,2020,0,909
81,2025,1,993
81,2025,0,980
81,2030,1,1058
81,2030,0,1046
81,2035,1,1120
81,2035,0,1108
82,2010,1,533
82,2010,0,510
82,2015,1,593
82,2015,0,569
82,2020,1,652
82,2020,0,627
82,2025,1,708
82,2025,0,683
82,2030,1,762
82,2030,0,738
82,2035,1,814
82,2035,0,790
91,2010,1,404
91,2010,0,361
91,2015,1,459
91,2015,0,412
91,2020,1,516
91,2020,0,466
91,2025,1,573
91,2025,0,519
91,2030,1,628
91,2030,0,572
91,2035,1,682
91,2035,0,623
94,2010,1,1516
94,2010,0,1341
94,2015,1,1661
94,2015,0,1488
94,2020,1,1802
94,2020,0,1633
94,2025,1,1931
94,2025,0,1770
94,2030,1,2044
94,2030,0,1895
94,2035,1,2139
94,2035,0,2006
